Roll(r)	Pitch(r)	Yaw(r)	Longitudinal[X](m)	Lateral[Y](m)	Heave[Z](m)
 -0.000000404026736	 0.000000150269130	 0.000000327398482	 0.000001745246550	 0.000001110642643	 -0.220762327313423
 -0.000000400345954	 0.000000165609620	 0.000000320312665	 0.000001751894501	 0.000001041688279	 -0.220762342214584
 -0.000000418796390	 0.000000172468859	 0.000000332918461	 0.000001695189098	 0.000001016463784	 -0.220762342214584
 -0.000000410075103	 0.000000179489106	 0.000000323987365	 0.000001758057465	 0.000001050369065	 -0.220762342214584
 -0.000000404147329	 0.000000186638943	 0.000000318041884	 0.000001754089908	 0.000001046879788	 -0.220762342214584
 -0.000000395564086	 0.000000170327496	 0.000000331406795	 0.000001752289677	 0.000001111628990	 -0.220762327313423
 -0.000000394325184	 0.000000180718786	 0.000000322981037	 0.000001753514539	 0.000001040708867	 -0.220762327313423
 -0.000000388514508	 0.000000166403964	 0.000000334694818	 0.000001751686227	 0.000001111043730	 -0.220762327313423
 -0.000000389297924	 0.000000178021281	 0.000000325169879	 0.000001753133574	 0.000001039999006	 -0.220762327313423
 -0.000000384926949	 0.000000164502083	 0.000000336151942	 0.000001751423042	 0.000001110559651	 -0.220762327313423
 -0.000000382407222	 0.000000155002652	 0.000000343462744	 0.000001750088245	 0.000001104771854	 -0.220762312412262
 -0.000000397886197	 0.000000161189504	 0.000000331006731	 0.000001694273465	 0.000001140028758	 -0.220762312412262
 -0.000000409210855	 0.000000165211503	 0.000000322714726	 0.000001699097083	 0.000001139025812	 -0.220762297511101
 -0.000000399947623	 0.000000155731513	 0.000000334517523	 0.000001754046252	 0.000001105222623	 -0.220762312412262
 -0.000000393063488	 0.000000149563988	 0.000000342374676	 0.000001748926479	 0.000001106780701	 -0.220762312412262
 -0.000000405494973	 0.000000131611415	 0.000000330282404	 0.000001803545842	 0.000001141016924	 -0.220762327313423
 -0.000000397317109	 0.000000131844530	 0.000000339555356	 0.000001742660743	 0.000001104675107	 -0.220762327313423
 -0.000000408507645	 0.000000117806316	 0.000000328405577	 0.000001802129646	 0.000001141630605	 -0.220762327313423
 -0.000000399468604	 0.000000121347938	 0.000000338305938	 0.000001741293431	 0.000001104951025	 -0.220762327313423
 -0.000000392719926	 0.000000122884430	 0.000000344896648	 0.000001746219937	 0.000001106749892	 -0.220762312412262
 -0.000000392257846	 0.000000146028114	 0.000000331961274	 0.000001748869636	 0.000001040772531	 -0.220762327313423
